,Q_bar,P_bar,T_bar,H_bar
2010-10-22 20:00:00,1.7865972222222166,0.0,4.740277777777772,149.0
2010-10-22 21:00:00,1.7859895833333277,0.0,4.746874999999994,149.0
2010-10-22 22:00:00,1.7853819444444383,0.0,4.753472222222216,149.0
2010-10-22 23:00:00,1.7847743055555492,0.0,4.760069444444438,149.0
2010-10-23 00:00:00,1.78416666666666,0.0,4.76666666666666,149.0
2010-10-23 01:00:00,1.7829513888888826,0.0083333333333333,4.804861111111105,149.0
2010-10-23 02:00:00,1.781736111111105,0.0166666666666666,4.84305555555555,149.0
2010-10-23 03:00:00,1.7805208333333276,0.025,4.881249999999994,149.0
2010-10-23 04:00:00,1.77930555555555,0.0333333333333333,4.919444444444439,149.0
2010-10-23 05:00:00,1.7780902777777725,0.0416666666666666,4.957638888888884,149.0
2010-10-23 06:00:00,1.8721,0.05,4.995833333333328,149.0
2010-10-23 07:00:00,1.8721,0.0583333333333333,5.034027777777772,149.0
2010-10-23 08:00:00,1.8721,0.0666666666666666,5.072222222222217,149.0
2010-10-23 09:00:00,1.8721,0.075,5.110416666666661,149.0
2010-10-23 10:00:00,1.772013888888885,0.0833333333333333,5.148611111111106,149.0
2010-10-23 11:00:00,1.7707986111111074,0.0916666666666666,5.186805555555551,149.0
2010-10-23 12:00:00,1.76958333333333,0.1,5.224999999999995,149.0
2010-10-23 13:00:00,1.7683680555555523,0.1083333333333333,5.26319444444444,149.0
2010-10-23 14:00:00,1.767152777777775,0.1166666666666666,5.3013888888888845,149.0
2010-10-23 15:00:00,1.7659374999999975,0.125,5.339583333333329,149.0
2010-10-23 16:00:00,1.76472222222222,0.1333333333333333,5.377777777777774,149.0
2010-10-23 17:00:00,1.7635069444444424,0.1416666666666666,5.4159722222222175,149.0
2010-10-23 18:00:00,1.7622916666666648,0.15,5.454166666666662,149.0
2010-10-23 19:00:00,1.7610763888888874,0.1583333333333333,5.492361111111107,149.0
2010-10-23 20:00:00,1.75986111111111,0.1666666666666666,5.530555555555552,149.0
2010-10-23 21:00:00,1.7586458333333324,0.175,5.568749999999996,149.0
2010-10-23 22:00:00,1.757430555555555,0.1833333333333333,5.606944444444441,149.0
2010-10-23 23:00:00,1.7562152777777773,0.1916666666666666,5.645138888888885,149.0
2010-10-24 00:00:00,1.755,0.2,5.68333333333333,149.0
2010-10-24 01:00:00,1.7577343749999998,0.3,5.741319444444441,149.0
2010-10-24 02:00:00,1.7604687499999998,0.4,5.799305555555552,149.0
2010-10-24 03:00:00,1.763203125,0.5,5.857291666666664,149.0
2010-10-24 04:00:00,1.7659375,0.6,5.915277777777775,149.0
2010-10-24 05:00:00,1.768671875,0.7,5.973263888888886,149.0
2010-10-24 06:00:00,1.7714062499999998,0.8,6.031249999999997,149.0
2010-10-24 07:00:00,1.7741406249999998,0.8999999999999999,6.089236111111109,149.0
2010-10-24 08:00:00,1.776875,1.0,6.14722222222222,149.0
2010-10-24 09:00:00,1.779609375,1.1,6.205208333333331,149.0
2010-10-24 10:00:00,1.78234375,1.2,6.2631944444444425,149.0
2010-10-24 11:00:00,1.7850781249999998,1.2999999999999998,6.321180555555554,149.0
2010-10-24 12:00:00,1.7878124999999998,1.4,6.379166666666665,149.0
2010-10-24 13:00:00,1.790546875,1.4999999999999998,6.437152777777777,149.0
2010-10-24 14:00:00,1.79328125,1.6,6.495138888888888,149.0
2010-10-24 15:00:00,1.796015625,1.6999999999999995,6.553124999999999,149.0
2010-10-24 16:00:00,1.7987499999999998,1.7999999999999998,6.61111111111111,149.0
2010-10-24 17:00:00,1.801484375,1.9,6.669097222222222,149.0
2010-10-24 18:00:00,1.80421875,2.0,6.727083333333333,149.0
2010-10-24 19:00:00,1.806953125,2.1,6.785069444444444,149.0
2010-10-24 20:00:00,1.80765,2.2,6.843055555555555,149.0
2010-10-24 21:00:00,1.80765,2.3,6.901041666666666,149.0
2010-10-24 22:00:00,1.80765,2.4,6.959027777777778,149.0
2010-10-24 23:00:00,1.80765,2.5,7.017013888888889,149.0
2010-10-25 00:00:00,1.80765,2.6,7.075,149.0
2010-10-25 01:00:00,1.80765,2.4916666666666667,7.028645833333334,149.04166666666666
2010-10-25 02:00:00,1.80765,2.3833333333333333,6.982291666666667,149.08333333333334
2010-10-25 03:00:00,1.80765,2.275,6.9359375000000005,149.125
2010-10-25 04:00:00,1.80765,2.166666666666667,6.889583333333333,149.16666666666666
2010-10-25 05:00:00,1.80765,2.0583333333333336,6.843229166666667,149.20833333333334
2010-10-25 06:00:00,1.80765,1.95,6.796875,149.25
2010-10-25 07:00:00,1.80765,1.8416666666666668,6.750520833333334,149.29166666666666
2010-10-25 08:00:00,1.80765,1.7333333333333334,6.704166666666667,149.33333333333334
2010-10-25 09:00:00,1.80765,1.625,6.6578125,149.375
2010-10-25 10:00:00,1.80765,1.5166666666666666,6.611458333333333,149.41666666666666
2010-10-25 11:00:00,1.80765,1.4083333333333334,6.565104166666667,149.45833333333334
2010-10-25 12:00:00,1.80765,1.3,6.518750000000001,149.5
2010-10-25 13:00:00,1.80765,1.1916666666666669,6.472395833333334,149.54166666666666
2010-10-25 14:00:00,1.80765,1.0833333333333337,6.426041666666666,149.58333333333334
2010-10-25 15:00:00,1.9469010416666623,0.975,6.3796875,149.625
2010-10-25 16:00:00,1.95531944444444,0.8666666666666667,6.333333333333334,149.66666666666666
2010-10-25 17:00:00,1.9637378472222176,0.7583333333333333,6.286979166666667,149.70833333333334
2010-10-25 18:00:00,1.9721562499999952,0.6499999999999999,6.2406250000000005,149.75
2010-10-25 19:00:00,1.9805746527777728,0.5416666666666665,6.194270833333333,149.79166666666666
2010-10-25 20:00:00,1.9879,0.4333333333333331,6.147916666666667,149.83333333333334
2010-10-25 21:00:00,1.9879,0.3250000000000002,6.1015625,149.875
2010-10-25 22:00:00,1.9879,0.2166666666666667,6.055208333333334,149.91666666666666
2010-10-25 23:00:00,1.9879,0.1083333333333333,6.008854166666668,149.95833333333334
2010-10-26 00:00:00,1.9879,0.0,5.9625,150.0
2010-10-26 01:00:00,1.9879,0.0,5.922743055555555,150.0
2010-10-26 02:00:00,1.9879,0.0,5.882986111111111,150.0
2010-10-26 03:00:00,1.9879,0.0,5.843229166666666,150.0
2010-10-26 04:00:00,1.9879,0.0,5.803472222222222,150.0
2010-10-26 05:00:00,1.9879,0.0,5.763715277777777,150.0
2010-10-26 06:00:00,1.9879,0.0,5.723958333333333,150.0
2010-10-26 07:00:00,1.9850052083333267,0.0,5.684201388888888,150.0
2010-10-26 08:00:00,2.0990800000000003,0.0,5.644444444444444,150.0
2010-10-26 09:00:00,1.97424479166666,0.0,5.604687499999999,150.0
2010-10-26 10:00:00,2.0990800000000003,0.0,5.564930555555555,150.0
2010-10-26 11:00:00,2.0990800000000003,0.0,5.52517361111111,150.0
2010-10-26 12:00:00,2.0990800000000003,0.0,5.485416666666666,150.0
2010-10-26 13:00:00,1.6274000000000002,0.0,5.445659722222221,150.0
2010-10-26 14:00:00,2.0990800000000003,0.0,5.405902777777776,150.0
2010-10-26 15:00:00,2.0990800000000003,0.0,5.366145833333332,150.0
2010-10-26 16:00:00,2.0990800000000003,0.0,5.326388888888887,150.0
2010-10-26 17:00:00,2.0990800000000003,0.0,5.2866319444444425,150.0
2010-10-26 18:00:00,2.0990800000000003,0.0,5.2468749999999975,150.0
2010-10-26 19:00:00,2.0990800000000003,0.0,5.207118055555553,150.0
2010-10-26 20:00:00,2.0990800000000003,0.0,5.167361111111108,150.0
2010-10-26 21:00:00,1.90968229166666,0.0,5.127604166666664,150.0
2010-10-26 22:00:00,1.9043020833333264,0.0,5.087847222222219,150.0
2010-10-26 23:00:00,1.8989218749999932,0.0,5.048090277777775,150.0
2010-10-27 00:00:00,1.89354166666666,0.0,5.00833333333333,150.0
2010-10-27 01:00:00,1.8944531249999932,0.0,4.929340277777775,150.0
2010-10-27 02:00:00,1.8953645833333268,0.0,4.85034722222222,150.0
2010-10-27 03:00:00,1.89627604166666,0.0,4.771354166666664,150.0
2010-10-27 04:00:00,1.8971874999999931,0.0,4.692361111111109,150.0
2010-10-27 05:00:00,1.8980989583333268,0.0,4.613368055555553,150.0
2010-10-27 06:00:00,1.89901041666666,0.0,4.534374999999997,150.0
2010-10-27 07:00:00,1.899921874999993,0.0,4.455381944444442,150.0
2010-10-27 08:00:00,1.9008333333333267,0.0,4.376388888888886,150.0
2010-10-27 09:00:00,1.90174479166666,0.0,4.297395833333331,150.0
2010-10-27 10:00:00,1.9026562499999933,0.0,4.218402777777776,150.0
2010-10-27 11:00:00,1.903567708333327,0.0,4.13940972222222,150.0
2010-10-27 12:00:00,1.90447916666666,0.0,4.060416666666665,150.0
2010-10-27 13:00:00,1.80765,0.0,3.9814236111111097,150.0
2010-10-27 14:00:00,1.9063020833333264,0.0,3.9024305555555534,150.0
2010-10-27 15:00:00,1.90721354166666,0.0,3.823437499999999,150.0
2010-10-27 16:00:00,1.9081249999999932,0.0,3.744444444444444,150.0
2010-10-27 17:00:00,1.9090364583333268,0.0,3.665451388888888,150.0
2010-10-27 18:00:00,1.90994791666666,0.0,3.5864583333333324,150.0
2010-10-27 19:00:00,1.9108593749999931,0.0,3.507465277777777,150.0
2010-10-27 20:00:00,1.80765,0.0,3.4284722222222217,150.0
2010-10-27 21:00:00,1.80765,0.0,3.349479166666666,150.0
2010-10-27 22:00:00,1.80765,0.0,3.2704861111111105,150.0
2010-10-27 23:00:00,1.80765,0.0,3.191493055555555,150.0
2010-10-28 00:00:00,1.91541666666666,0.0,3.1125,150.0
2010-10-28 01:00:00,1.9105555555555491,0.0,3.128993055555555,149.95833333333334
2010-10-28 02:00:00,1.9056944444444384,0.0,3.1454861111111105,149.91666666666666
2010-10-28 03:00:00,1.900833333333328,0.0,3.161979166666666,149.875
2010-10-28 04:00:00,1.8959722222222168,0.0,3.1784722222222217,149.83333333333334
2010-10-28 05:00:00,1.8911111111111056,0.0,3.194965277777777,149.79166666666666
2010-10-28 06:00:00,1.886249999999995,0.0,3.2114583333333324,149.75
2010-10-28 07:00:00,1.8813888888888843,0.0,3.227951388888888,149.70833333333334
2010-10-28 08:00:00,1.8765277777777731,0.0,3.244444444444443,149.66666666666666
2010-10-28 09:00:00,1.8721,0.0,3.260937499999999,149.625
2010-10-28 10:00:00,1.80765,0.0,3.2774305555555543,149.58333333333334
2010-10-28 11:00:00,1.80765,0.0,3.2939236111111097,149.54166666666666
2010-10-28 12:00:00,1.8721,0.0,3.310416666666665,149.5
2010-10-28 13:00:00,1.8721,0.0,3.3269097222222204,149.45833333333334
2010-10-28 14:00:00,1.8721,0.0,3.343402777777776,149.41666666666666
2010-10-28 15:00:00,1.8721,0.0,3.359895833333331,149.375
2010-10-28 16:00:00,1.8721,0.0,3.376388888888887,149.33333333333334
2010-10-28 17:00:00,1.8721,0.0,3.3928819444444422,149.29166666666666
2010-10-28 18:00:00,1.8721,0.0,3.4093749999999976,149.25
2010-10-28 19:00:00,1.8721,0.0,3.425868055555553,149.20833333333334
2010-10-28 20:00:00,1.8721,0.0,3.4423611111111083,149.16666666666666
2010-10-28 21:00:00,1.8721,0.0,3.458854166666664,149.125
2010-10-28 22:00:00,1.8721,0.0,3.4753472222222195,149.08333333333334
2010-10-28 23:00:00,1.8721,0.0,3.491840277777775,149.04166666666666
2010-10-29 00:00:00,1.8721,0.0,3.50833333333333,149.0
2010-10-29 01:00:00,1.8721,0.0,3.5071180555555523,149.0
2010-10-29 02:00:00,1.8721,0.0,3.5059027777777745,149.0
2010-10-29 03:00:00,1.8721,0.0,3.5046874999999966,149.0
2010-10-29 04:00:00,1.8721,0.0,3.5034722222222183,149.0
2010-10-29 05:00:00,1.8721,0.0,3.5022569444444405,149.0
2010-10-29 06:00:00,1.773229166666665,0.0,3.5010416666666626,149.0
2010-10-29 07:00:00,1.7689756944444426,0.0,3.4998263888888848,149.0
2010-10-29 08:00:00,1.76472222222222,0.0,3.498611111111107,149.0
2010-10-29 09:00:00,1.7604687499999976,0.0,3.4973958333333286,149.0
2010-10-29 10:00:00,1.8721,0.0,3.4961805555555507,149.0
2010-10-29 11:00:00,1.8721,0.0,3.494965277777773,149.0
2010-10-29 12:00:00,1.8721,0.0,3.493749999999995,149.0
2010-10-29 13:00:00,1.6274000000000002,0.0,3.492534722222217,149.0
2010-10-29 14:00:00,1.6274000000000002,0.0,3.4913194444444398,149.0
2010-10-29 15:00:00,1.6274000000000002,0.0,3.490104166666661,149.0
2010-10-29 16:00:00,1.6274000000000002,0.0,3.488888888888883,149.0
2010-10-29 17:00:00,1.6274000000000002,0.0,3.4876736111111053,149.0
2010-10-29 18:00:00,1.8721,0.0,3.4864583333333274,149.0
2010-10-29 19:00:00,1.8721,0.0,3.4852430555555496,149.0
2010-10-29 20:00:00,1.71368055555555,0.0,3.484027777777772,149.0
2010-10-29 21:00:00,1.7094270833333276,0.0,3.482812499999993,149.0
2010-10-29 22:00:00,1.705173611111105,0.0,3.481597222222216,149.0
2010-10-29 23:00:00,1.7023499999999998,0.0,3.4803819444444377,149.0
2010-10-30 00:00:00,1.7023499999999998,0.0,3.47916666666666,149.0
2010-10-30 01:00:00,1.7023499999999998,0.0,3.5078124999999933,148.95833333333334
2010-10-30 02:00:00,1.7023499999999998,0.0,3.5364583333333264,148.91666666666666
2010-10-30 03:00:00,1.7023499999999998,0.0,3.56510416666666,148.875
2010-10-30 04:00:00,1.7023499999999998,0.0,3.5937499999999933,148.83333333333334
2010-10-30 05:00:00,1.7023499999999998,0.0,3.6223958333333264,148.79166666666666
2010-10-30 06:00:00,1.7023499999999998,0.0,3.65104166666666,148.75
2010-10-30 07:00:00,1.7023499999999998,0.0,3.679687499999993,148.70833333333334
2010-10-30 08:00:00,1.7023499999999998,0.0,3.7083333333333264,148.66666666666666
2010-10-30 09:00:00,1.7023499999999998,0.0,3.73697916666666,148.625
